[INFO][main][2019-06-24 11:08:50][org.springframework.context.support.AbstractApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@646d64ab: startup date [Mon Jun 24 11:08:50 CST 2019]; root of context hierarchy
#sql[INFO][main][2019-06-24 11:08:50][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Hibernate-All-Cfg.xml]
#sql[INFO][main][2019-06-24 11:08:50][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Datasource.xml]
#sql[INFO][main][2019-06-24 11:08:50][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Bean.xml]
#sql[INFO][main][2019-06-24 11:08:51][org.springframework.core.io.support.PropertiesLoaderSupport] - Loading properties file from class path resource [database.properties]
#sql[INFO][main][2019-06-24 11:08:51][org.hibernate.Version] - HHH000412: Hibernate Core {5.0.8.Final}
#sql[INFO][main][2019-06-24 11:08:51][org.hibernate.cfg.Environment] - HHH000206: hibernate.properties not found
#sql[INFO][main][2019-06-24 11:08:51][org.hibernate.cfg.Environment] - HHH000021: Bytecode provider name : javassist
#sql[INFO][main][2019-06-24 11:08:51][org.hibernate.annotations.common.reflection.java.JavaReflectionManager] - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
#sql[INFO][main][2019-06-24 11:08:52][org.hibernate.dialect.Dialect] - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
#sql[INFO][main][2019-06-24 11:08:52][org.hibernate.tool.hbm2ddl.SchemaUpdate] - HHH000228: Running hbm2ddl schema update
#sql[INFO][main][2019-06-24 11:08:53][org.springframework.orm.hibernate5.HibernateTransactionManager] - Using DataSource [org.apache.commons.dbcp.BasicDataSource@7f37b6d9] of Hibernate SessionFactory for HibernateTransactionManager
#sql[INFO][main][2019-06-24 11:08:53][com.aiwan.server.util.ExcelUtil] - url:file:/C:/ideaProject/homeword1/target/classes/staticresource/map.xls
#sql[INFO][main][2019-06-24 11:08:53][com.aiwan.server.util.ExcelUtil] - url:file:/C:/ideaProject/homeword1/target/classes/staticresource/prop.xls
#sql[INFO][main][2019-06-24 11:08:53][com.aiwan.server.util.ExcelUtil] - url:file:/C:/ideaProject/homeword1/target/classes/staticresource/role.xls
#sql[INFO][main][2019-06-24 11:08:53][com.aiwan.server.util.ExcelUtil] - url:file:/C:/ideaProject/homeword1/target/classes/staticresource/mount.xls
#sql[INFO][main][2019-06-24 11:10:05][org.springframework.context.support.AbstractApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@646d64ab: startup date [Mon Jun 24 11:10:05 CST 2019]; root of context hierarchy
#sql[INFO][main][2019-06-24 11:10:05][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Hibernate-All-Cfg.xml]
#sql[INFO][main][2019-06-24 11:10:05][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Datasource.xml]
#sql[INFO][main][2019-06-24 11:10:05][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Bean.xml]
#sql[INFO][main][2019-06-24 11:10:06][org.springframework.core.io.support.PropertiesLoaderSupport] - Loading properties file from class path resource [database.properties]
#sql[INFO][main][2019-06-24 11:10:06][org.hibernate.Version] - HHH000412: Hibernate Core {5.0.8.Final}
#sql[INFO][main][2019-06-24 11:10:06][org.hibernate.cfg.Environment] - HHH000206: hibernate.properties not found
